Type,Name,Count
Bucket,Other,27315
Bucket,Hair_Color,11296
Bucket,Makeup_Style,10282
Bucket,Face_Shape,9903
Bucket,Hair_Structure,9469
Bucket,Nose,8924
Bucket,Eyebrows,7291
Bucket,Facial_Hair,4141
Attribute,Young,7507
Attribute,High_Cheekbones,6280
Attribute,Arched_Eyebrows,4982
Attribute,Big_Nose,4760
Attribute,Attractive,4636
Attribute,Wearing_Lipstick,4564
Attribute,Wavy_Hair,4487
Attribute,Pointy_Nose,4164
Attribute,Brown_Hair,3974
Attribute,Black_Hair,3864
Attribute,Mouth_Slightly_Open,3257
Attribute,Heavy_Makeup,3033
Attribute,Smiling,2914
Attribute,5_o_Clock_Shadow,2880
Attribute,Blond_Hair,2723
Attribute,Bags_Under_Eyes,2686
Attribute,Straight_Hair,2636
Attribute,Big_Lips,2607
Attribute,Oval_Face,2374
Attribute,Bushy_Eyebrows,2309
Attribute,Wearing_Earrings,1642
Attribute,Sideburns,1545
Attribute,Goatee,1467
Attribute,Bangs,1171
Attribute,Mustache,1103
Attribute,Wearing_Necklace,1043
Attribute,Receding_Hairline,882
Attribute,Narrow_Eyes,862
Attribute,Wearing_Necktie,748
Attribute,Gray_Hair,735
Attribute,Chubby,702
Attribute,Eyeglasses,621
Attribute,Double_Chin,547
Attribute,Rosy_Cheeks,520
Attribute,Pale_Skin,485
Attribute,Wearing_Hat,472
Attribute,Bald,293
