Type,Name,Count
Bucket,Other,28274
Bucket,Hair_Color,11405
Bucket,Makeup_Style,10401
Bucket,Face_Shape,10077
Bucket,Hair_Structure,9594
Bucket,Nose,8991
Bucket,Eyebrows,7292
Bucket,Facial_Hair,2347
Attribute,Young,7755
Attribute,High_Cheekbones,6339
Attribute,Arched_Eyebrows,4910
Attribute,Big_Nose,4849
Attribute,Attractive,4764
Attribute,Wearing_Lipstick,4562
Attribute,Wavy_Hair,4467
Attribute,Pointy_Nose,4142
Attribute,Brown_Hair,4024
Attribute,Black_Hair,3886
Attribute,Mouth_Slightly_Open,3297
Attribute,Heavy_Makeup,3161
Attribute,Smiling,3012
Attribute,Bags_Under_Eyes,2908
Attribute,Straight_Hair,2777
Attribute,Big_Lips,2771
Attribute,Blond_Hair,2766
Attribute,Oval_Face,2436
Attribute,Bushy_Eyebrows,2382
Attribute,5_o_Clock_Shadow,1860
Attribute,Wearing_Earrings,1672
Attribute,Bangs,1147
Attribute,Wearing_Necklace,1006
Attribute,Receding_Hairline,910
Attribute,Narrow_Eyes,819
Attribute,Wearing_Necktie,758
Attribute,Chubby,741
Attribute,Gray_Hair,729
Attribute,Eyeglasses,658
Attribute,Double_Chin,561
Attribute,Rosy_Cheeks,537
Attribute,Wearing_Hat,526
Attribute,Pale_Skin,469
Attribute,Bald,293
Attribute,Mustache,185
Attribute,Goatee,184
Attribute,Sideburns,118
