Gender,Count,Attribute_1,Attribute_2,Attribute_3,Buckets,Prompt_Preview
male,0,5_o_Clock_Shadow,Bald,Brown_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a five o'clock shadow, a bald head, and brown hair."
male,0,5_o_Clock_Shadow,Bald,Rosy_Cheeks,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with a five o'clock shadow, a bald head, and rosy cheeks."
male,0,Goatee,Bangs,Gray_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a goatee, bangs, and gray hair."
male,0,Goatee,Bangs,Rosy_Cheeks,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with a goatee, bangs, and rosy cheeks."
male,0,Goatee,Bald,Brown_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a goatee, a bald head, and brown hair."
male,0,Goatee,Bald,Blond_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a goatee, a bald head, and blond hair."
male,0,Goatee,Blond_Hair,Arched_Eyebrows,"['facial_hair', 'hair_color', 'eyebrows']","A realistic portrait of a male, with a goatee, blond hair, and arched eyebrows."
male,0,Goatee,Wearing_Hat,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with a goatee, wearing a hat, and rosy cheeks."
male,0,Goatee,Pale_Skin,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with a goatee, pale skin, and rosy cheeks."
male,0,Sideburns,Bangs,Rosy_Cheeks,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with sideburns, bangs, and rosy cheeks."
male,0,Sideburns,Bald,Brown_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with sideburns, a bald head, and brown hair."
male,0,Sideburns,Bald,Pale_Skin,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with sideburns, a bald head, and pale skin."
male,0,Sideburns,Blond_Hair,Arched_Eyebrows,"['facial_hair', 'hair_color', 'eyebrows']","A realistic portrait of a male, with sideburns, blond hair, and arched eyebrows."
male,0,Sideburns,Pale_Skin,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with sideburns, pale skin, and rosy cheeks."
male,0,Mustache,Bangs,Gray_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a mustache, bangs, and gray hair."
male,0,Mustache,Bangs,Rosy_Cheeks,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with a mustache, bangs, and rosy cheeks."
male,0,Mustache,Bald,Brown_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a mustache, a bald head, and brown hair."
male,0,Mustache,Bald,Blond_Hair,"['facial_hair', 'hair_structure', 'hair_color']","A realistic portrait of a male, with a mustache, a bald head, and blond hair."
male,0,Mustache,Bald,Pale_Skin,"['facial_hair', 'hair_structure', 'other']","A realistic portrait of a male, with a mustache, a bald head, and pale skin."
male,0,Mustache,Brown_Hair,Wearing_Hat,"['facial_hair', 'hair_color', 'other']","A realistic portrait of a male, with a mustache, brown hair, and wearing a hat."
male,0,Mustache,Brown_Hair,Rosy_Cheeks,"['facial_hair', 'hair_color', 'other']","A realistic portrait of a male, with a mustache, brown hair, and rosy cheeks."
male,0,Mustache,Blond_Hair,Double_Chin,"['facial_hair', 'hair_color', 'face_shape']","A realistic portrait of a male, with a mustache, blond hair, and a double chin."
male,0,Mustache,Blond_Hair,Bushy_Eyebrows,"['facial_hair', 'hair_color', 'eyebrows']","A realistic portrait of a male, with a mustache, blond hair, and bushy eyebrows."
male,0,Mustache,Blond_Hair,Narrow_Eyes,"['facial_hair', 'hair_color', 'other']","A realistic portrait of a male, with a mustache, blond hair, and narrow eyes."
male,0,Mustache,Blond_Hair,Wearing_Hat,"['facial_hair', 'hair_color', 'other']","A realistic portrait of a male, with a mustache, blond hair, and wearing a hat."
male,0,Mustache,Blond_Hair,Rosy_Cheeks,"['facial_hair', 'hair_color', 'other']","A realistic portrait of a male, with a mustache, blond hair, and rosy cheeks."
male,0,Mustache,Young,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with a mustache, a youthful appearance, and rosy cheeks."
male,0,Mustache,Attractive,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with a mustache, an attractive look, and rosy cheeks."
male,0,Mustache,Pale_Skin,Rosy_Cheeks,"['facial_hair', 'other', 'other']","A realistic portrait of a male, with a mustache, pale skin, and rosy cheeks."
male,0,Straight_Hair,Blond_Hair,Wearing_Hat,"['hair_structure', 'hair_color', 'other']","A realistic portrait of a male, with straight hair, blond hair, and wearing a hat."
male,0,Straight_Hair,Blond_Hair,Rosy_Cheeks,"['hair_structure', 'hair_color', 'other']","A realistic portrait of a male, with straight hair, blond hair, and rosy cheeks."
male,0,Straight_Hair,Arched_Eyebrows,Wearing_Hat,"['hair_structure', 'eyebrows', 'other']","A realistic portrait of a male, with straight hair, arched eyebrows, and wearing a hat."
male,0,Straight_Hair,Wearing_Necktie,Wearing_Hat,"['hair_structure', 'other', 'other']","A realistic portrait of a male, with straight hair, wearing a necktie, and wearing a hat."
