filename,prompt
0.jpg,"A photo-realistic portrait of a woman with high cheekbones and wavy, brown hair."
1.jpg,A photo-realistic portrait of an attractive woman wearing heavy makeup with wavy hair.
2.jpg,A photo-realistic portrait of a smiling woman wearing lipstick with wavy hair.
3.jpg,"A photo-realistic portrait of a woman with bushy eyebrows, a big nose, and black hair."
4.jpg,A photo-realistic portrait of a young woman with mouth slightly open and straight hair.
5.jpg,A photo-realistic portrait of an attractive woman wearing a necklace with wavy hair.
6.jpg,A photo-realistic portrait of an attractive woman wearing a hat and a necklace.
7.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with big lips.
8.jpg,A photo-realistic portrait of a young woman wearing lipstick with brown hair.
9.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, a pointy nose, and brown hair."
10.jpg,"A photo-realistic portrait of a man with a big nose, a receding hairline, and arched eyebrows."
11.jpg,A photo-realistic portrait of a young woman wearing lipstick with blond hair.
12.jpg,"A photo-realistic portrait of a woman with high cheekbones, arched eyebrows, and straight hair."
13.jpg,A photo-realistic portrait of a young woman with big lips.
14.jpg,"A photo-realistic portrait of a smiling, young woman with wavy hair."
15.jpg,A photo-realistic portrait of a woman wearing lipstick with mouth slightly open.
16.jpg,A photo-realistic portrait of a woman wearing lipstick with big lips and black hair.
17.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with big lips.
18.jpg,"A photo-realistic portrait of a woman with high cheekbones and wavy, black hair."
19.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with big lips.
20.jpg,"A photo-realistic portrait of a young woman with wavy, blond hair."
21.jpg,A photo-realistic portrait of a young woman with blond hair.
22.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and wavy hair.
23.jpg,"A photo-realistic portrait of a man with big lips, a big nose, and wavy hair."
24.jpg,A photo-realistic portrait of a smiling woman with bags under eyes and high cheekbones.
25.jpg,A photo-realistic portrait of an attractive woman with mouth slightly open and straight hair.
26.jpg,"A photo-realistic portrait of a woman wearing heavy makeup with wavy, brown hair."
27.jpg,A photo-realistic portrait of a woman wearing heavy makeup with arched eyebrows and black hair.
28.jpg,"A photo-realistic portrait of a woman with arched eyebrows, a pointy nose, and narrow eyes."
29.jpg,"A photo-realistic portrait of a man with high cheekbones and straight, brown hair."
30.jpg,"A photo-realistic portrait of a man with bushy eyebrows, a pointy nose, 5 o'clock shadow, sideburns, and a mustache."
31.jpg,A photo-realistic portrait of a smiling woman with arched eyebrows and bangs.
32.jpg,A photo-realistic portrait of an attractive man with bushy eyebrows and black hair.
33.jpg,A photo-realistic portrait of a woman wearing lipstick with a pointy nose and high cheekbones.
34.jpg,A photo-realistic portrait of a smiling man with a big nose and bags under eyes.
35.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with a big nose.
36.jpg,A photo-realistic portrait of a young woman wearing lipstick with arched eyebrows.
37.jpg,"A photo-realistic portrait of a man with bags under eyes, a big nose, and a double chin."
38.jpg,A photo-realistic portrait of a chubby woman wearing a necklace with big lips.
39.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, sideburns, a mustache, a big nose, and brown hair."
40.jpg,A photo-realistic portrait of an attractive man with bushy eyebrows and mouth slightly open.
41.jpg,A photo-realistic portrait of a young woman wearing earrings.
42.jpg,A photo-realistic portrait of a woman wearing lipstick with a pointy nose and mouth slightly open.
43.jpg,A photo-realistic portrait of a man wearing a hat with bangs and 5 o'clock shadow.
44.jpg,A photo-realistic portrait of a woman wearing earrings with bangs and blond hair.
45.jpg,"A photo-realistic portrait of a woman with big lips and straight, blond hair."
46.jpg,A photo-realistic portrait of a young woman with mouth slightly open and high cheekbones.
47.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and black hair.
48.jpg,A photo-realistic portrait of a young woman with bags under eyes and brown hair.
49.jpg,"A photo-realistic portrait of a man with bags under eyes, big lips, and straight hair."
50.jpg,A photo-realistic portrait of a young woman wearing lipstick with arched eyebrows.
51.jpg,A photo-realistic portrait of a young woman with high cheekbones.
52.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, a mustache, a big nose, and straight hair."
53.jpg,A photo-realistic portrait of a young woman with an oval face and a receding hairline.
54.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and a big nose.
55.jpg,A photo-realistic portrait of an attractive woman with bags under eyes and an oval face.
56.jpg,A photo-realistic portrait of a woman wearing heavy makeup with rosy cheeks and big lips.
57.jpg,"A photo-realistic portrait of an attractive, young woman with wavy hair."
58.jpg,"A photo-realistic portrait of a smiling, young woman with arched eyebrows."
59.jpg,A photo-realistic portrait of a young woman wearing lipstick with high cheekbones.
60.jpg,A photo-realistic portrait of a young woman wearing lipstick with mouth slightly open.
61.jpg,A photo-realistic portrait of a young woman with high cheekbones and a pointy nose.
62.jpg,A photo-realistic portrait of a man wearing a necktie with 5 o'clock shadow and straight hair.
63.jpg,A photo-realistic portrait of a young woman with arched eyebrows and a big nose.
64.jpg,"A photo-realistic portrait of a man with bags under eyes, a big nose, and gray hair."
65.jpg,"A photo-realistic portrait of an attractive, young woman with straight hair."
66.jpg,"A photo-realistic portrait of an attractive woman with wavy, brown hair."
67.jpg,A photo-realistic portrait of a young woman with high cheekbones and big lips.
68.jpg,"A photo-realistic portrait of a young, attractive woman with wavy hair."
69.jpg,"A photo-realistic portrait of a woman with bushy eyebrows, high cheekbones, and mouth slightly open."
70.jpg,A photo-realistic portrait of a young woman with arched eyebrows and a receding hairline.
71.jpg,"A photo-realistic portrait of a woman with arched eyebrows, a big nose, and blond hair."
72.jpg,"A photo-realistic portrait of a woman with arched eyebrows and wavy, blond hair."
73.jpg,A photo-realistic portrait of an attractive woman wearing a necklace with blond hair.
74.jpg,A photo-realistic portrait of a woman wearing heavy makeup with bags under eyes and wavy hair.
75.jpg,"A photo-realistic portrait of a man with bushy eyebrows, big lips, and black hair."
76.jpg,"A photo-realistic portrait of an attractive, young woman with black hair."
77.jpg,A photo-realistic portrait of a woman wearing a necklace with a pointy nose and big lips.
78.jpg,A photo-realistic portrait of an attractive woman with a big nose and wavy hair.
79.jpg,A photo-realistic portrait of a woman wearing heavy makeup with bags under eyes and big lips.
80.jpg,A photo-realistic portrait of a man wearing a necktie with bushy eyebrows.
81.jpg,"A photo-realistic portrait of a woman with high cheekbones, a pointy nose, and mouth slightly open."
82.jpg,"A photo-realistic portrait of a woman with an oval face, a big nose, and wavy hair."
83.jpg,"A photo-realistic portrait of an attractive, young woman with a pointy nose."
84.jpg,A photo-realistic portrait of a woman wearing heavy makeup with big lips and mouth slightly open.
85.jpg,"A photo-realistic portrait of an attractive, young woman with a pointy nose."
